DefineStr_a0e43ef2-f0eb-33bb-b60f-bb700dc2c945{phase=2, ifLevel=0, location='global', virtualHost='null', lineNum=1} in test.conf:1
SecRequestBodyAccess_7fe869d4-0e46-334f-87ce-13e9721baf9e{phase=2, ifLevel=0, location='global', virtualHost='null', lineNum=66} in test.conf:66
SecStreamInBodyInspection_11b970a7-e196-3ea6-ac91-1e644a2f8e95{phase=2, ifLevel=0, location='global', virtualHost='null', lineNum=67} in test.conf:67
DefineStr_cf6d9c8c-eb60-3181-b3f5-6b3fdee9302d{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=4} in test.conf:4
DefineStr_2fb981ba-7647-3352-abef-1f02d24ef27f{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=5} in test.conf:5
ErrorLog_d01fb709-7c18-3f2d-8dc0-f1cebf8456e9{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=6} in test.conf:6
LogLevel_3b52653c-04c7-3929-a3b6-80bc01839e4a{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=7} in test.conf:7
DocumentRoot_8ab6c5c7-fd78-36bc-9d2a-19510cb7b0e2{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=10} in test.conf:10
SecAuditLogType_685a3936-276f-3b62-ba73-2dd0075e578a{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=11} in test.conf:11
SecAuditLog_4e1ba2e1-99b1-33b8-a1e9-c1fdc62fdeb0{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=12} in test.conf:12
MacroIgnoreBadNesting_2b558f18-0f41-3cbf-a436-7495bf42d172{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=27} in test.conf:27
RewriteEngine_d614979f-3471-3093-b1c2-ddc2433e9336{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=29} in test.conf:29
RewriteOptions_f7e33e8f-3e0f-3a3c-a7b3-64ed622d7053{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=30} in test.conf:30
SecAuditEngine_12ef18aa-3764-3a94-ba14-f00fa72f453a{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=37} in test.conf:37
SecRuleEngine_03de8f40-729a-3b30-a0b1-4f6ff0564890{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=38} in test.conf:38
SecRuleInheritance_68427d69-2044-3f0a-aab6-9211a2dedeba{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=39} in test.conf:39
RewriteRule_a8f7c12d-65a1-36cf-9feb-267b200c65b4{phase=2, ifLevel=0, location='global', virtualHost='test.com:80', lineNum=43} in test.conf:43
DefineStr_2a6f6c0f-f692-36ff-9a56-ec317440557f{phase=2, ifLevel=2, location='global', virtualHost='null', lineNum=61};
DefineStr_d8346be4-c74c-3044-8820-897069dd39c9{phase=2, ifLevel=2, location='global', virtualHost='null', lineNum=62};
SecResponseBodyAccess_42daf7c9-2835-3e93-9a76-ff9b57ca0552{phase=2, ifLevel=2, location='global', virtualHost='test.com:80', lineNum=16};
SecHashKey_cfe6967e-37b7-3dcf-8f82-e103dd282604{phase=2, ifLevel=2, location='global', virtualHost='test.com:80', lineNum=18};
Directory_f331938a-b63c-3439-aa07-3633c49a9bdb{phase=2, ifLevel=2, location='global', virtualHost='test.com:80', lineNum=20};
dummyRule_55c41f82-9e90-3a61-8647-772433ac9de9{phase=2, ifLevel=4, location='global', virtualHost='test.com:80', lineNum=33};
SecRule_139d6495-df4c-33b2-8c39-0a81acd11b5d{phase=4, ifLevel=4, location='global', virtualHost='null', lineNum=52};
